lb,inst_lumi_ub_s,collbunches,mu
1,0.333603,108,0.021975396472506296
2,0.33417,252,0.009434034173918568
3,0.334652,396,0.006012135584389919
4,0.334904,396,0.00601666284903279
5,0.334274,540,0.00440391943744545
6,0.333795,540,0.004397608813793785
7,0.335566,540,0.004420940994351399
8,0.335436,648,0.0036826902491642376
9,0.334959,648,0.0036774533537539318
10,0.336969,648,0.0036995207746652833
11,0.335284,756,0.0031551612592075028
12,0.335086,756,0.0031532979972286332
13,0.335602,756,0.003158153770870534
14,0.336332,900,0.0026586196334173213
15,0.336751,900,0.0026619317227409714
16,0.336883,1044,0.0022956682322837394
17,0.337043,1044,0.0022967585423236208
18,0.336443,1044,0.0022926698796740656
19,0.336766,1044,0.0022948709430670763
20,0.336651,1044,0.002294087282725911
21,0.336749,1044,0.002294755097625339
22,0.336788,1044,0.0022950208606975597
23,0.33613,1044,0.002290536960658547
24,0.336584,1044,0.002293630715396711
25,0.336778,1044,0.0022949527163200673
26,0.337028,1188,0.0020182737408170935
27,0.337846,1296,0.0018545745983125559
28,0.337893,1296,0.0018548326004973405
29,0.337809,1404,0.0017117275294242836
30,0.338314,1404,0.0017142864381637169
31,0.338946,1548,0.001557722467522172
32,0.340144,1548,0.0015632282162729805
33,0.339686,1692,0.0014282617859053721
34,0.339919,1836,0.0013171440998710636
35,0.34046,1908,0.0012694577510806108
36,0.340689,1908,0.0012703116129880229
37,0.340884,2016,0.0012029473416756654
38,0.342228,2160,0.0011271775109925398
39,0.342949,2304,0.001058955214663307
40,0.344335,2304,0.0010632348945210216
41,0.344248,2448,0.0010004388297485884
42,0.344,2448,0.0009997181027442841
43,0.344727,2448,0.0010018308790835143
44,0.344567,2448,0.001001365893919447
45,0.344823,2448,0.0010021098701819544
46,0.345298,2448,0.0010034902948877788
47,0.34591,2448,0.0010052688631403354
48,0.250508,2448,0.0007280156467507709
49,0.252319,2448,0.0007332786975765556
50,0.256553,2448,0.0007455833674806813
51,0.259435,2448,0.0007539589127484402
52,0.259182,2448,0.0007532236549577591
53,0.261673,2448,0.0007604628927308287
54,0.263037,2448,0.000764426891254501
55,0.269002,2448,0.0007817621194023778
56,0.274534,2448,0.0007978389814499981
57,0.280482,2448,0.0008151248049241929
58,0.289504,2448,0.000841344155863027
59,0.294794,2448,0.0008567177278499958
60,0.299686,2448,0.0008709346492413477
61,0.305004,2448,0.0008863895936320282
62,0.308577,2448,0.0008967732935771018
63,0.313898,2448,0.0009122369564396086
64,0.320216,2448,0.0009305980581057086
65,0.317326,2448,0.0009221992635797463
66,0.323941,2448,0.0009414234939566458
67,0.33184,2448,0.000964379230275184
68,0.340335,2448,0.000989067036329872
69,0.348763,2448,0.001013560129847107
70,0.355475,2448,0.0010330662574797222
71,0.364761,2448,0.0010600528339392672
72,0.376335,2448,0.0010936886982449716
73,0.388791,2448,0.001129887793267596
74,0.400949,2448,0.0011652208534221455
75,0.404481,2448,0.001175485400918927
76,0.405016,2448,0.0011770401950612765
77,0.403739,2448,0.0011733290322205657
78,0.404763,2448,0.001176304937270595
79,0.405007,2448,0.0011770140396457974
80,0.405571,2448,0.0011786531123491341
81,0.406889,2448,0.001182483427638137
82,0.416281,2448,0.0012097780567688764
83,0.4246,2448,0.0012339543791430904
84,0.446833,2448,0.0012985669738474906
85,0.453107,2448,0.001316800204593472
86,0.456341,2448,0.0013261987172221786
87,0.460475,2448,0.0013382127713987627
88,0.456712,2448,0.0013272769015713593
89,0.45219,2448,0.0013141352583719125
90,0.448665,2448,0.001303891053976059
91,0.447556,2448,0.001300668125557619
92,0.448683,2448,0.0013039433648070165
93,2178.05,2448,6.329755853727293
94,16923.6,2448,49.182643266288274
95,15729.5,2448,45.712400863709945
96,14008.7,2448,40.71148542416819
97,15448.3,2448,44.895189437862
98,16400.0,2448,47.660979316878674
99,17877.7,2448,51.955407922765964
100,17848.0,2448,51.86909505168601
101,17832.8,2448,51.824921461099635
102,17812.0,2448,51.764473389770906
103,17797.3,2448,51.72175287782224
104,17785.9,2448,51.68862268488247
105,17776.1,2448,51.66014234358335
106,17767.8,2448,51.63602123819736
107,17758.2,2448,51.60812212835335
108,17749.8,2448,51.58371040723982
109,17766.0,2448,51.63079015510161
110,18000.5,2448,52.31228403618747
111,18366.8,2448,53.3768094461736
112,18544.9,2448,53.89439605692582
113,18779.2,2448,54.575308706556584
114,19304.9,2448,56.10307558624458
115,19539.3,2448,56.78427885160289
116,19689.6,2448,57.22107429009843
117,19936.2,2448,57.93773267421686
118,19800.6,2448,57.54365774766999
119,18923.1,2448,54.99350473848943
120,16691.7,2448,48.50870539411852
121,16319.9,2448,47.42819611911757
122,16299.9,2448,47.37007297360918
123,16257.2,2448,47.24598005794878
124,16201.3,2448,47.08352586625283
125,16167.3,2448,46.98471651888857
126,17268.0,2448,50.183523831942736
127,20780.5,2448,60.39140126185349
128,22007.7,2448,63.957837470248215
129,21956.4,2448,63.80875160201921
130,21951.0,2448,63.79305835273193
131,21839.1,2448,63.46785935361249
132,21770.7,2448,63.26907819597382
133,21746.9,2448,63.19991165281883
134,21651.2,2448,62.921792401561184
135,21696.2,2448,63.052569478955064
136,21696.7,2448,63.05402255759277
137,21629.2,2448,62.85785694150196
138,21610.0,2448,62.80205872181391
139,21655.2,2448,62.933417030662866
140,21499.2,2448,62.48005649569744
141,21349.2,2448,62.04413290438452
142,21224.2,2448,61.68086324495709
143,21114.8,2448,61.362929639026206
144,21064.2,2448,61.21587808088998
145,21088.2,2448,61.28562585550005
146,21190.1,2448,61.58176328186528
147,21035.8,2448,61.13334321426806
148,21222.6,2448,61.67621339331642
149,21190.4,2448,61.582635129047915
150,21169.5,2448,61.52189644199165
151,21068.0,2448,61.226921478536575
152,21314.1,2448,61.9421267840173
153,21596.0,2448,62.76137251995804
154,21507.5,2448,62.50417760108341
155,21554.3,2448,62.640185761573036
156,22073.3,2448,64.14848138751573
157,22074.8,2448,64.15284062342886
158,22040.2,2448,64.05228758169936
159,21917.3,2448,63.695120852550296
160,21892.0,2448,63.62159507348219
161,21876.3,2448,63.5759684042581
162,21825.3,2448,63.42775438321171
163,21787.6,2448,63.31819225392839
164,21779.0,2448,63.29319930135979
165,21809.9,2448,63.38299956117026
166,21836.5,2448,63.460303344696406
167,21726.3,2448,63.14004481294518
168,21634.9,2448,62.87442203797186
169,21617.9,2448,62.82501736428973
170,21544.0,2448,62.610252341636226
171,21554.7,2448,62.64134822448321
172,21461.0,2448,62.36904128777641
173,21443.6,2448,62.31847415118411
174,21336.9,2448,62.008387169896864
175,21341.5,2448,62.02175549336379
176,21730.1,2448,63.15108821059178
177,21849.0,2448,63.49663031063915
178,21816.3,2448,63.40159896773293
179,21755.4,2448,63.2246139896599
180,21689.2,2448,63.032226378027126
181,21748.9,2448,63.20572396736967
182,21843.7,2448,63.48122767707944
183,21781.1,2448,63.29930223163817
184,21743.9,2448,63.19119318099257
185,21743.9,2448,63.19119318099257
186,21668.5,2448,62.972068922425954
187,21721.1,2448,63.124932795113004
188,21698.5,2448,63.059253640688524
189,21770.0,2448,63.267043885881016
190,21948.7,2448,63.78637419099848
191,21881.0,2448,63.58962734345257
192,22045.4,2448,64.06739959953153
193,21952.8,2448,63.79828943582769
194,21929.2,2448,63.7297041241278
195,21919.8,2448,63.70238624573885
196,21890.9,2448,63.618398300479235
197,21908.4,2448,63.669256052799064
198,22082.3,2448,64.1746368029945
199,21960.2,2448,63.819794999665795
200,21921.6,2448,63.707617328834594
201,21958.0,2448,63.81340145365986
202,22111.4,2448,64.25920597970921
203,22051.4,2448,64.08483654318404
204,22052.6,2448,64.08832393191454
205,22106.4,2448,64.24467519333211
206,21927.2,2448,63.72389180957695
207,21938.5,2448,63.75673138678919
208,21913.5,2448,63.68407745490371
209,21920.4,2448,63.704129940104096
210,22043.4,2448,64.0615872849807
211,21994.2,2448,63.918604347030055
212,21946.4,2448,63.779690029265005
213,21894.1,2448,63.62769800376056
214,21877.9,2448,63.58061825589877
215,22012.6,2448,63.97207764089777
216,22136.0,2448,64.33069744868453
217,22191.5,2448,64.4919891774703
218,22231.8,2448,64.6091073156697
219,21984.8,2448,63.89128646864111
220,21861.0,2448,63.53150419794419
221,21923.9,2448,63.71430149056807
222,21980.9,2448,63.87995245526698
223,21937.6,2448,63.754115845241316
224,21875.3,2448,63.57306224698268
225,21947.8,2448,63.78375864945059
226,21956.5,2448,63.80904221774673
227,21872.9,2448,63.566087469521676
228,21836.4,2448,63.46001272896886
229,22003.8,2448,63.94650345687407
230,22158.2,2448,64.39521414019885
231,22055.1,2448,64.09558932510309
232,22054.9,2448,64.09500809364802
233,22240.9,2448,64.63555334687602
234,22168.7,2448,64.42572879159074
235,22083.1,2448,64.17696172881483
236,22024.1,2448,64.00549844956508
237,22150.9,2448,64.37399919208828
238,22137.8,2448,64.33592853178028
239,22081.7,2448,64.17289310862925
240,22079.8,2448,64.16737140980595
241,22030.2,2448,64.02322600894516
242,22054.4,2448,64.0935550150103
243,21973.2,2448,63.85757504424625
244,21898.0,2448,63.6390320171347
245,21958.6,2448,63.81514514802511
246,21941.9,2448,63.76661232152561
247,21896.1,2448,63.633510318311394
248,22006.4,2448,63.95405946579018
249,22044.7,2448,64.06536528943874
250,22089.4,2448,64.19527051964998
251,22092.5,2448,64.20427960720379
252,22072.0,2448,64.14470338305769
253,22022.1,2448,63.999686135014244
254,21983.7,2448,63.88808969563816
255,21929.4,2448,63.73028535558287
256,21916.5,2448,63.692795926729964
257,22103.0,2448,64.2347942585957
258,22049.2,2448,64.07844299717812
259,22079.2,2448,64.1656277154407
260,22009.2,2448,63.96219670616134
261,22009.1,2448,63.9619060904338
262,21971.9,2448,63.853797039788205
263,21896.7,2448,63.63525401267666
264,22146.0,2448,64.35975902143872
265,22011.0,2448,63.9674277892571
266,21779.5,2448,63.2946523799975
267,21570.9,2448,62.68842797234502
268,21855.3,2448,63.51493910147429
269,21912.9,2448,63.682333760538455
270,21887.7,2448,63.60909859719789
271,21869.7,2448,63.55678776624034
272,22007.0,2448,63.95580316015542
273,22121.0,2448,64.28710508955324
274,22103.5,2448,64.2362473372334
275,21995.9,2448,63.92354481439828
276,22042.1,2448,64.05780928052263
277,22002.5,2448,63.942725452416035
278,21967.3,2448,63.84042871632126
279,21980.3,2448,63.87820876090172
280,21873.7,2448,63.56841239534201
281,21889.3,2448,63.61374844883856
282,22027.1,2448,64.01421692139134
283,22111.2,2448,64.25862474825412
284,22049.1,2448,64.07815238145058
285,22069.1,2448,64.13627552695897
286,21966.4,2448,63.837813174773395
287,21900.7,2448,63.646878641778336
288,21858.8,2448,63.52511065193826
289,22112.8,2448,64.2632745998948
290,22136.7,2448,64.33273175877733
291,22062.5,2448,64.1170948889412
292,21990.7,2448,63.90843279656608
293,21976.3,2448,63.86658413180004
294,21984.3,2448,63.88983339000339
295,21981.5,2448,63.881696149632226
296,21943.9,2448,63.772424636076465
297,21876.3,2448,63.5759684042581
298,21961.8,2448,63.82444485130646
299,21972.0,2448,63.85408765551574
300,22069.2,2448,64.13656614268652
301,22263.7,2448,64.7018137327556
302,21979.4,2448,63.87559321935385
303,21953.9,2448,63.80148620883065
304,22151.1,2448,64.37458042354336
305,21876.9,2448,63.577712098623365
306,22021.1,2448,63.996779977738825
307,22015.5,2448,63.980505496996486
